Feature,Value,Model,test_subjects
trunk_acc_perc25,1.0,LGBMClassifier,"(2, 3, 6)"
upperarm_jerk_med,0.0,LGBMClassifier,"(2, 3, 6)"
upperarm_jerk_mad,0.0,LGBMClassifier,"(2, 3, 6)"
wrist_acc_mad,0.0,LGBMClassifier,"(2, 3, 6)"
trunk_jerk_rms,0.0,LGBMClassifier,"(2, 3, 6)"
wrist_jerk_mean,0.0,LGBMClassifier,"(2, 3, 6)"
upperarm_jerk_mean,0.0,LGBMClassifier,"(2, 3, 6)"
trunk_jerk_mean,0.0,LGBMClassifier,"(2, 3, 6)"
upperarm_acc_std,0.0,LGBMClassifier,"(2, 3, 6)"
trunk_jerk_med,0.0,LGBMClassifier,"(2, 3, 6)"
wrist_acc_length,0.0,LGBMClassifier,"(2, 3, 6)"
error,0.0,RidgeClassifier,"(2, 3, 6)"
wrist_acc_mean,0.05963507667183876,XGBClassifier,"(2, 3, 6)"
trunk_jerk_max,0.059480927884578705,XGBClassifier,"(2, 3, 6)"
wrist_acc_perc75,0.057981912046670914,XGBClassifier,"(2, 3, 6)"
upperarm_acc_rms,0.050310634076595306,XGBClassifier,"(2, 3, 6)"
wrist_acc_perc25,0.04327908530831337,XGBClassifier,"(2, 3, 6)"
trunk_acc_med,0.039904024451971054,XGBClassifier,"(2, 3, 6)"
trunk_jerk_mean,0.03984766826033592,XGBClassifier,"(2, 3, 6)"
upperarm_jerk_std,0.03914131224155426,XGBClassifier,"(2, 3, 6)"
wrist_jerk_std,0.036063019186258316,XGBClassifier,"(2, 3, 6)"
upperarm_acc_med,0.03453206643462181,XGBClassifier,"(2, 3, 6)"
upperarm_jerk_perc75,0.03278469294309616,XGBClassifier,"(2, 3, 6)"
upperarm_acc_mean,0.03162714093923569,XGBClassifier,"(2, 3, 6)"
trunk_acc_mean,0.029333163052797318,XGBClassifier,"(2, 3, 6)"
trunk_acc_min,0.0287223719060421,XGBClassifier,"(2, 3, 6)"
wrist_jerk_mad,0.028147567063570023,XGBClassifier,"(2, 3, 6)"
wrist_jerk_perc75,0.025908002629876137,XGBClassifier,"(2, 3, 6)"
trunk_acc_std,0.02347181737422943,XGBClassifier,"(2, 3, 6)"
trunk_jerk_rms,0.022031858563423157,XGBClassifier,"(2, 3, 6)"
wrist_jerk_max,0.02193622477352619,XGBClassifier,"(2, 3, 6)"
upperarm_acc_max,0.021189918741583824,XGBClassifier,"(2, 3, 6)"
wrist_jerk_perc25,0.02066255919635296,XGBClassifier,"(2, 3, 6)"
trunk_acc_mad,0.017538215965032578,XGBClassifier,"(2, 3, 6)"
upperarm_acc_mad,0.01703338883817196,XGBClassifier,"(2, 3, 6)"
upperarm_acc_perc25,0.01667734794318676,XGBClassifier,"(2, 3, 6)"
wrist_acc_max,0.015415826812386513,XGBClassifier,"(2, 3, 6)"
upperarm_jerk_perc25,0.014585723169147968,XGBClassifier,"(2, 3, 6)"
upperarm_jerk_max,0.01423742063343525,XGBClassifier,"(2, 3, 6)"
wrist_acc_rms,0.013749565929174423,XGBClassifier,"(2, 3, 6)"
trunk_jerk_mad,0.012816655449569225,XGBClassifier,"(2, 3, 6)"
trunk_jerk_perc25,0.011990897357463837,XGBClassifier,"(2, 3, 6)"
wrist_jerk_med,0.01127519179135561,XGBClassifier,"(2, 3, 6)"
upperarm_jerk_mad,0.010610951110720634,XGBClassifier,"(2, 3, 6)"
wrist_acc_min,0.009717321954667568,XGBClassifier,"(2, 3, 6)"
wrist_acc_med,0.009376337751746178,XGBClassifier,"(2, 3, 6)"
upperarm_jerk_min,0.009188616648316383,XGBClassifier,"(2, 3, 6)"
upperarm_acc_std,0.008546920493245125,XGBClassifier,"(2, 3, 6)"
wrist_jerk_min,0.008395092561841011,XGBClassifier,"(2, 3, 6)"
upperarm_acc_min,0.008159968070685863,XGBClassifier,"(2, 3, 6)"
trunk_jerk_min,0.007822350598871708,XGBClassifier,"(2, 3, 6)"
trunk_acc_perc75,0.006320838816463947,XGBClassifier,"(2, 3, 6)"
trunk_acc_perc25,0.006112956907600164,XGBClassifier,"(2, 3, 6)"
upperarm_jerk_rms,0.005775236990302801,XGBClassifier,"(2, 3, 6)"
wrist_acc_std,0.004815576132386923,XGBClassifier,"(2, 3, 6)"
trunk_jerk_std,0.004554190207272768,XGBClassifier,"(2, 3, 6)"
trunk_acc_max,0.003500316757708788,XGBClassifier,"(2, 3, 6)"
upperarm_acc_perc75,0.0032838117331266403,XGBClassifier,"(2, 3, 6)"
wrist_jerk_rms,0.002508256584405899,XGBClassifier,"(2, 3, 6)"
trunk_jerk_perc75,0.0,XGBClassifier,"(2, 3, 6)"
trunk_jerk_med,0.0,XGBClassifier,"(2, 3, 6)"
upperarm_jerk_mean,0.0,XGBClassifier,"(2, 3, 6)"
trunk_acc_rms,0.0,XGBClassifier,"(2, 3, 6)"
wrist_jerk_mean,0.0,XGBClassifier,"(2, 3, 6)"
upperarm_jerk_med,0.0,XGBClassifier,"(2, 3, 6)"
wrist_acc_mad,0.0,XGBClassifier,"(2, 3, 6)"
wrist_acc_length,0.0,XGBClassifier,"(2, 3, 6)"
error,0.0,DummyClassifier,"(2, 3, 6)"
error,0.0,GaussianNB,"(2, 3, 6)"
error,0.0,KNeighborsClassifier,"(2, 3, 6)"
error,0.0,SGDClassifier,"(2, 3, 6)"
