Feature,Value,Model,Subject,Sensor
wrist_jerk_std,0.0014126297750245431,"RandomForestRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_time,0.6949810672981337,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_std,0.03354213093524565,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_mad,0.024896391886426786,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_med,0.023378165637083146,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_jerk_perc75,0.02208557094743927,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_length,0.02187160445557998,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_perc25,0.019696205114617317,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_jerk_mad,0.019496543618499815,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_rms,0.01773635039231414,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_jerk_mean,0.015448468211251344,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_jerk_min,0.014486360428300737,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_perc75,0.01351874700041659,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_jerk_med,0.012796410072194642,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_jerk_std,0.010945986063700341,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_jerk_rms,0.010690573874685463,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_max,0.01006765103155092,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_mean,0.009778668251589268,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_jerk_max,0.009737333164629967,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_min,0.008573048540036661,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_jerk_perc25,0.006272723076304124,"ExtraTreesRegressor(n_jobs=-1, random_state=8944)",1,wrist
wrist_acc_time,0.6304126968445257,AdaBoostRegressor(random_state=8944),1,wrist
wrist_acc_med,0.08483969090283,AdaBoostRegressor(random_state=8944),1,wrist
wrist_acc_length,0.04883364155808238,AdaBoostRegressor(random_state=8944),1,wrist
wrist_jerk_med,0.03906479521509867,AdaBoostRegressor(random_state=8944),1,wrist
wrist_jerk_mean,0.03324534962225641,AdaBoostRegressor(random_state=8944),1,wrist
wrist_acc_perc25,0.027991062453030503,AdaBoostRegressor(random_state=8944),1,wrist
wrist_jerk_max,0.02243966914285857,AdaBoostRegressor(random_state=8944),1,wrist
wrist_acc_perc75,0.022104189781543167,AdaBoostRegressor(random_state=8944),1,wrist
wrist_jerk_min,0.021206286657105472,AdaBoostRegressor(random_state=8944),1,wrist
wrist_acc_mad,0.016658156033226207,AdaBoostRegressor(random_state=8944),1,wrist
wrist_jerk_std,0.011900012257996445,AdaBoostRegressor(random_state=8944),1,wrist
wrist_acc_std,0.011134863561071677,AdaBoostRegressor(random_state=8944),1,wrist
wrist_jerk_perc75,0.009711495988977907,AdaBoostRegressor(random_state=8944),1,wrist
wrist_jerk_rms,0.005416191208483091,AdaBoostRegressor(random_state=8944),1,wrist
wrist_acc_min,0.005007543054078752,AdaBoostRegressor(random_state=8944),1,wrist
wrist_jerk_mad,0.0032415562206978264,AdaBoostRegressor(random_state=8944),1,wrist
wrist_jerk_perc25,0.0025555140342270713,AdaBoostRegressor(random_state=8944),1,wrist
wrist_acc_mean,0.0020286461836605445,AdaBoostRegressor(random_state=8944),1,wrist
wrist_acc_max,0.0012773516312927526,AdaBoostRegressor(random_state=8944),1,wrist
wrist_acc_rms,0.0009312876489569606,AdaBoostRegressor(random_state=8944),1,wrist
wrist_acc_time,131,LGBMRegressor(random_state=8944),1,wrist
wrist_acc_min,36,LGBMRegressor(random_state=8944),1,wrist
wrist_acc_length,30,LGBMRegressor(random_state=8944),1,wrist
wrist_acc_std,29,LGBMRegressor(random_state=8944),1,wrist
wrist_jerk_min,27,LGBMRegressor(random_state=8944),1,wrist
wrist_acc_perc25,24,LGBMRegressor(random_state=8944),1,wrist
wrist_acc_mad,24,LGBMRegressor(random_state=8944),1,wrist
wrist_jerk_max,23,LGBMRegressor(random_state=8944),1,wrist
wrist_jerk_rms,20,LGBMRegressor(random_state=8944),1,wrist
wrist_jerk_perc75,19,LGBMRegressor(random_state=8944),1,wrist
wrist_jerk_med,18,LGBMRegressor(random_state=8944),1,wrist
wrist_acc_rms,17,LGBMRegressor(random_state=8944),1,wrist
wrist_acc_med,16,LGBMRegressor(random_state=8944),1,wrist
wrist_acc_max,15,LGBMRegressor(random_state=8944),1,wrist
wrist_jerk_mad,15,LGBMRegressor(random_state=8944),1,wrist
wrist_jerk_mean,14,LGBMRegressor(random_state=8944),1,wrist
wrist_acc_perc75,14,LGBMRegressor(random_state=8944),1,wrist
wrist_jerk_std,12,LGBMRegressor(random_state=8944),1,wrist
wrist_jerk_perc25,8,LGBMRegressor(random_state=8944),1,wrist
wrist_acc_mean,6,LGBMRegressor(random_state=8944),1,wrist
wrist_acc_length,0.0002283378217083133,OrthogonalMatchingPursuit(),1,wrist
wrist_acc_time,6.778047265657578e-08,OrthogonalMatchingPursuit(),1,wrist
wrist_jerk_perc25,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_jerk_med,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_jerk_max,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_jerk_min,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_jerk_std,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_jerk_mad,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_jerk_rms,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_jerk_mean,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_acc_perc75,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_acc_perc25,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_acc_med,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_acc_max,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_acc_min,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_acc_std,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_acc_mad,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_acc_rms,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_acc_mean,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_jerk_perc75,0.0,OrthogonalMatchingPursuit(),1,wrist
wrist_acc_length,0.00022725186884899694,BayesianRidge(),1,wrist
wrist_jerk_max,0.00019692040827595623,BayesianRidge(),1,wrist
wrist_jerk_rms,3.611210541113586e-05,BayesianRidge(),1,wrist
wrist_jerk_perc75,3.3332783860322366e-05,BayesianRidge(),1,wrist
wrist_jerk_std,3.0311802969866354e-05,BayesianRidge(),1,wrist
wrist_jerk_mad,2.3751786688798255e-05,BayesianRidge(),1,wrist
wrist_jerk_mean,2.1201208015967884e-05,BayesianRidge(),1,wrist
wrist_acc_max,6.1797108406275166e-06,BayesianRidge(),1,wrist
wrist_jerk_med,4.597116735024721e-06,BayesianRidge(),1,wrist
wrist_jerk_perc25,3.0340845945330134e-06,BayesianRidge(),1,wrist
wrist_acc_min,2.4127510618832616e-06,BayesianRidge(),1,wrist
wrist_acc_std,8.120254049359272e-07,BayesianRidge(),1,wrist
wrist_acc_mad,3.934771856199237e-07,BayesianRidge(),1,wrist
wrist_acc_rms,3.7179893776512496e-07,BayesianRidge(),1,wrist
wrist_acc_perc75,2.764401923006844e-07,BayesianRidge(),1,wrist
wrist_jerk_min,2.1056836209973326e-07,BayesianRidge(),1,wrist
wrist_acc_perc25,2.0435713346633279e-07,BayesianRidge(),1,wrist
wrist_acc_mean,1.9064565553519154e-07,BayesianRidge(),1,wrist
wrist_acc_med,8.902119117877723e-08,BayesianRidge(),1,wrist
wrist_acc_time,6.790835131171022e-08,BayesianRidge(),1,wrist
wrist_acc_length,0.00022755928774077753,LassoLars(random_state=8944),1,wrist
wrist_acc_time,6.782312748353803e-08,LassoLars(random_state=8944),1,wrist
wrist_jerk_perc25,0.0,LassoLars(random_state=8944),1,wrist
wrist_jerk_med,0.0,LassoLars(random_state=8944),1,wrist
wrist_jerk_max,0.0,LassoLars(random_state=8944),1,wrist
wrist_jerk_min,0.0,LassoLars(random_state=8944),1,wrist
wrist_jerk_std,0.0,LassoLars(random_state=8944),1,wrist
wrist_jerk_mad,0.0,LassoLars(random_state=8944),1,wrist
wrist_jerk_rms,0.0,LassoLars(random_state=8944),1,wrist
wrist_jerk_mean,0.0,LassoLars(random_state=8944),1,wrist
wrist_acc_perc75,0.0,LassoLars(random_state=8944),1,wrist
wrist_acc_perc25,0.0,LassoLars(random_state=8944),1,wrist
wrist_acc_med,0.0,LassoLars(random_state=8944),1,wrist
wrist_acc_max,0.0,LassoLars(random_state=8944),1,wrist
wrist_acc_min,0.0,LassoLars(random_state=8944),1,wrist
wrist_acc_std,0.0,LassoLars(random_state=8944),1,wrist
wrist_acc_mad,0.0,LassoLars(random_state=8944),1,wrist
wrist_acc_rms,0.0,LassoLars(random_state=8944),1,wrist
wrist_acc_mean,0.0,LassoLars(random_state=8944),1,wrist
wrist_jerk_perc75,0.0,LassoLars(random_state=8944),1,wrist
wrist_acc_length,0.0002275592553927308,Lasso(random_state=8944),1,wrist
wrist_acc_time,6.782314453470751e-08,Lasso(random_state=8944),1,wrist
wrist_jerk_perc25,0.0,Lasso(random_state=8944),1,wrist
wrist_jerk_med,0.0,Lasso(random_state=8944),1,wrist
wrist_jerk_max,0.0,Lasso(random_state=8944),1,wrist
wrist_jerk_min,0.0,Lasso(random_state=8944),1,wrist
wrist_jerk_std,0.0,Lasso(random_state=8944),1,wrist
wrist_jerk_mad,0.0,Lasso(random_state=8944),1,wrist
wrist_jerk_rms,0.0,Lasso(random_state=8944),1,wrist
wrist_jerk_mean,0.0,Lasso(random_state=8944),1,wrist
wrist_acc_perc75,0.0,Lasso(random_state=8944),1,wrist
wrist_acc_perc25,0.0,Lasso(random_state=8944),1,wrist
wrist_acc_med,0.0,Lasso(random_state=8944),1,wrist
wrist_acc_max,0.0,Lasso(random_state=8944),1,wrist
wrist_acc_min,0.0,Lasso(random_state=8944),1,wrist
wrist_acc_std,0.0,Lasso(random_state=8944),1,wrist
wrist_acc_mad,0.0,Lasso(random_state=8944),1,wrist
wrist_acc_rms,0.0,Lasso(random_state=8944),1,wrist
wrist_acc_mean,0.0,Lasso(random_state=8944),1,wrist
wrist_jerk_perc75,0.0,Lasso(random_state=8944),1,wrist
wrist_jerk_max,0.0031680251748099045,ElasticNet(random_state=8944),1,wrist
wrist_acc_length,0.00022348778806000259,ElasticNet(random_state=8944),1,wrist
wrist_acc_time,6.913050746958275e-08,ElasticNet(random_state=8944),1,wrist
wrist_jerk_perc25,0.0,ElasticNet(random_state=8944),1,wrist
wrist_jerk_med,0.0,ElasticNet(random_state=8944),1,wrist
wrist_jerk_min,0.0,ElasticNet(random_state=8944),1,wrist
wrist_jerk_std,0.0,ElasticNet(random_state=8944),1,wrist
wrist_jerk_mad,0.0,ElasticNet(random_state=8944),1,wrist
wrist_jerk_rms,0.0,ElasticNet(random_state=8944),1,wrist
wrist_jerk_mean,0.0,ElasticNet(random_state=8944),1,wrist
wrist_acc_perc75,0.0,ElasticNet(random_state=8944),1,wrist
wrist_acc_perc25,0.0,ElasticNet(random_state=8944),1,wrist
wrist_acc_med,0.0,ElasticNet(random_state=8944),1,wrist
wrist_acc_max,0.0,ElasticNet(random_state=8944),1,wrist
wrist_acc_min,0.0,ElasticNet(random_state=8944),1,wrist
wrist_acc_std,0.0,ElasticNet(random_state=8944),1,wrist
wrist_acc_mad,0.0,ElasticNet(random_state=8944),1,wrist
wrist_acc_rms,0.0,ElasticNet(random_state=8944),1,wrist
wrist_acc_mean,0.0,ElasticNet(random_state=8944),1,wrist
wrist_jerk_perc75,0.0,ElasticNet(random_state=8944),1,wrist
wrist_jerk_mean,0.6150099697160348,Ridge(random_state=8944),1,wrist
wrist_acc_min,0.5600388508454062,Ridge(random_state=8944),1,wrist
wrist_jerk_std,0.3293002441579401,Ridge(random_state=8944),1,wrist
wrist_jerk_perc25,0.2747809671072061,Ridge(random_state=8944),1,wrist
wrist_acc_max,0.23429959132328368,Ridge(random_state=8944),1,wrist
wrist_acc_perc75,0.21555442111693948,Ridge(random_state=8944),1,wrist
wrist_acc_std,0.1951679636848713,Ridge(random_state=8944),1,wrist
wrist_jerk_min,0.15853600097786347,Ridge(random_state=8944),1,wrist
wrist_jerk_med,0.1336425988358016,Ridge(random_state=8944),1,wrist
wrist_jerk_mad,0.1319041402015125,Ridge(random_state=8944),1,wrist
wrist_acc_mad,0.09063801585470556,Ridge(random_state=8944),1,wrist
wrist_jerk_perc75,0.06846652822810788,Ridge(random_state=8944),1,wrist
wrist_jerk_rms,0.050023147567964214,Ridge(random_state=8944),1,wrist
wrist_acc_med,0.04845497388530877,Ridge(random_state=8944),1,wrist
wrist_acc_rms,0.027169507355908017,Ridge(random_state=8944),1,wrist
wrist_acc_mean,0.01463599426120005,Ridge(random_state=8944),1,wrist
wrist_acc_perc25,0.01093266972023485,Ridge(random_state=8944),1,wrist
wrist_jerk_max,0.004002066901471551,Ridge(random_state=8944),1,wrist
wrist_acc_length,6.88244232775294e-05,Ridge(random_state=8944),1,wrist
wrist_acc_time,8.325705885958271e-08,Ridge(random_state=8944),1,wrist
wrist_acc_rms,178.4464475784985,LinearRegression(n_jobs=-1),1,wrist
wrist_acc_mean,140.9490865228393,LinearRegression(n_jobs=-1),1,wrist
wrist_acc_mad,47.81827861949928,LinearRegression(n_jobs=-1),1,wrist
wrist_acc_med,42.73685725218393,LinearRegression(n_jobs=-1),1,wrist
wrist_acc_std,30.44124662099356,LinearRegression(n_jobs=-1),1,wrist
wrist_acc_perc75,23.675864952671436,LinearRegression(n_jobs=-1),1,wrist
wrist_acc_perc25,10.371638679490285,LinearRegression(n_jobs=-1),1,wrist
wrist_jerk_mean,7.025193994285047,LinearRegression(n_jobs=-1),1,wrist
wrist_jerk_rms,2.0623019071932873,LinearRegression(n_jobs=-1),1,wrist
wrist_jerk_perc25,1.887094465465577,LinearRegression(n_jobs=-1),1,wrist
wrist_jerk_med,1.3234459450522675,LinearRegression(n_jobs=-1),1,wrist
