Feature,Value,Model,Subject
upperarm_jerk_std,0.0032407867283964905,GradientBoostingRegressor(random_state=7337),1
trunk_jerk_std,0.003100452823716064,GradientBoostingRegressor(random_state=7337),1
trunk_jerk_rms,0.003072045067666011,GradientBoostingRegressor(random_state=7337),1
upperarm_jerk_mean,0.0024869973606887756,GradientBoostingRegressor(random_state=7337),1
upperarm_jerk_max,0.0022987490860803994,GradientBoostingRegressor(random_state=7337),1
trunk_jerk_max,0.001751714900274809,GradientBoostingRegressor(random_state=7337),1
upperarm_acc_mad,0.0017176926804187765,GradientBoostingRegressor(random_state=7337),1
trunk_acc_mean,0.0016657428800451962,GradientBoostingRegressor(random_state=7337),1
wrist_acc_perc25,0.0015548340491474478,GradientBoostingRegressor(random_state=7337),1
wrist_jerk_min,0.0014002782882727076,GradientBoostingRegressor(random_state=7337),1
wrist_acc_perc75,0.001268603146107396,GradientBoostingRegressor(random_state=7337),1
wrist_jerk_max,0.001180698274263361,GradientBoostingRegressor(random_state=7337),1
trunk_acc_rms,0.0009957723875225614,GradientBoostingRegressor(random_state=7337),1
upperarm_acc_med,0.0009261068977808412,GradientBoostingRegressor(random_state=7337),1
upperarm_jerk_perc25,0.0009036430116251259,GradientBoostingRegressor(random_state=7337),1
wrist_jerk_std,0.000757040767883733,GradientBoostingRegressor(random_state=7337),1
upperarm_jerk_med,0.0007505665348724994,GradientBoostingRegressor(random_state=7337),1
trunk_jerk_min,0.0007485507028422534,GradientBoostingRegressor(random_state=7337),1
trunk_jerk_perc25,0.0004809266628279386,GradientBoostingRegressor(random_state=7337),1
wrist_acc_med,0.0004776540702262351,GradientBoostingRegressor(random_state=7337),1
upperarm_jerk_perc75,0.0004091351996813124,GradientBoostingRegressor(random_state=7337),1
trunk_jerk_med,0.0003915168027847197,GradientBoostingRegressor(random_state=7337),1
upperarm_jerk_min,0.0003839057607681868,GradientBoostingRegressor(random_state=7337),1
upperarm_acc_min,0.00037840059124862795,GradientBoostingRegressor(random_state=7337),1
wrist_jerk_med,0.0003732297535160442,GradientBoostingRegressor(random_state=7337),1
trunk_acc_max,0.0003476130956230931,GradientBoostingRegressor(random_state=7337),1
trunk_acc_mad,0.0003284908030749207,GradientBoostingRegressor(random_state=7337),1
wrist_acc_max,0.00023134451979774277,GradientBoostingRegressor(random_state=7337),1
wrist_jerk_perc75,0.00022224775784892136,GradientBoostingRegressor(random_state=7337),1
upperarm_acc_rms,0.00019786293128725688,GradientBoostingRegressor(random_state=7337),1
wrist_jerk_mad,0.00018707292488462658,GradientBoostingRegressor(random_state=7337),1
trunk_jerk_mean,0.00013965855610585366,GradientBoostingRegressor(random_state=7337),1
wrist_jerk_perc25,0.00013948799453235346,GradientBoostingRegressor(random_state=7337),1
wrist_acc_rms,0.00011550523845568974,GradientBoostingRegressor(random_state=7337),1
upperarm_acc_std,8.294028398240137e-05,GradientBoostingRegressor(random_state=7337),1
trunk_acc_min,7.914601952346751e-05,GradientBoostingRegressor(random_state=7337),1
wrist_jerk_mean,7.194260169604848e-05,GradientBoostingRegressor(random_state=7337),1
wrist_jerk_rms,4.933514997137027e-05,GradientBoostingRegressor(random_state=7337),1
upperarm_jerk_rms,3.8585713884019875e-05,GradientBoostingRegressor(random_state=7337),1
pace,3.543085146691567e-05,GradientBoostingRegressor(random_state=7337),1
trunk_jerk_perc75,2.6385384126937458e-05,GradientBoostingRegressor(random_state=7337),1
weight,0.0,GradientBoostingRegressor(random_state=7337),1
wrist_acc_time,0.39709434749226086,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_med,0.08846242385269361,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_mean,0.08400307494047406,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_rms,0.06013915014166409,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_perc25,0.0408852132360656,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_perc75,0.04040376069202596,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_perc75,0.025427018003503696,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_mad,0.018119713343291613,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_mean,0.012434258612633607,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_length,0.011675707828010884,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_rms,0.010374918175271893,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_mean,0.010352652708741686,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_std,0.00976352991843656,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_std,0.00818888977825216,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_std,0.007994969343317613,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_std,0.007894216192351526,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_mad,0.0076547986212829496,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_perc75,0.007543719008009243,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_mean,0.006766279157052715,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_mad,0.006390485870636973,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_max,0.0056113726654071095,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_max,0.005551781589980188,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_mad,0.0055152459542355285,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_max,0.005304856339210121,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_rms,0.005211130646981365,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_rms,0.004981787704137126,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_rms,0.004966767342569835,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_mean,0.004911333528840726,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_min,0.00489902736621983,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_min,0.004786980927917431,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
pace,0.004627781969298197,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_mean,0.004515759278798481,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_min,0.004458203080480283,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_perc75,0.004353557948680935,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_mad,0.004350487698608319,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_max,0.004294914486327336,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_std,0.004238653180126919,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_min,0.003923425629931229,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_med,0.003732769724593124,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_max,0.00349309558683161,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_perc75,0.003291627050536679,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_rms,0.0031598672716857817,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_med,0.00314969955330693,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_perc25,0.0030958477291468355,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_min,0.003075952736730087,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_perc25,0.003041243734256323,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_max,0.002907648474726695,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_mad,0.0028386378642214533,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_min,0.0027797652759457836,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_med,0.0027766048021697154,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_perc25,0.0027246212923436423,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_med,0.002550039905898542,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_perc75,0.002522083492486316,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_std,0.001815066921053593,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_med,0.0017121607543090884,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_perc25,0.0013158891037797827,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_perc25,0.0010273403003319922,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
weight,0.0009178441719178228,"ExtraTreesRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_time,0.36295532748280257,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
