Type,Time (seconds),Combinations
df,59156.60910650001,3

csv,17675.4995719,3

pre,56940.8599487,3

df,86895.1366388,3

csv,23778.28148460001,3

pre,22948.700839700003,3

df,860.5249879000476,1

csv,860.7807890999829,1

pre,867.0578590999357,1

df,862.9452965999953,1

csv,860.1604118999094,1

pre,862.7980473999633,1
df,878.4128626999445,1
csv,904.0389925999334,1
pre,886.3975139999529,1
df,23852.588813700015,3
csv,66577.4735804,3
