Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,1.108,3.6937,1.8945,0.3785,0.5882,0.3752,3.409,"(1, 8, 16)"
Decision Tree Regressor,1.0842,3.3469,1.8157,0.4864,0.573,0.3896,3.403,"(1, 8, 17)"
Decision Tree Regressor,1.3159,5.0455,2.2379,0.2461,0.6682,0.4571,3.421,"(1, 9, 10)"
Decision Tree Regressor,1.0823,3.9356,1.9755,0.3869,0.5981,0.37,3.411,"(1, 9, 12)"
Decision Tree Regressor,0.944,3.169,1.7652,0.4407,0.5336,0.3416,3.407,"(1, 9, 13)"
Decision Tree Regressor,0.9985,3.2718,1.7971,0.4595,0.5565,0.3344,3.382,"(1, 9, 15)"
Decision Tree Regressor,0.8593,2.6051,1.5995,0.5502,0.495,0.3019,3.413,"(1, 9, 16)"
Decision Tree Regressor,0.9338,3.1139,1.7382,0.4996,0.5201,0.3126,3.374,"(1, 9, 17)"
Decision Tree Regressor,1.3164,5.4078,2.3107,0.2227,0.6662,0.4186,3.423,"(1, 10, 12)"
Decision Tree Regressor,0.7889,2.6968,1.6265,0.5814,0.4925,0.2898,3.415,"(1, 10, 13)"
Decision Tree Regressor,0.9552,3.231,1.7831,0.5137,0.5338,0.2968,3.391,"(1, 10, 15)"
Decision Tree Regressor,1.0002,3.2657,1.7898,0.4882,0.5435,0.3491,3.404,"(1, 10, 16)"
Decision Tree Regressor,1.3562,5.432,2.3126,0.2113,0.6553,0.4157,3.382,"(1, 10, 17)"
Decision Tree Regressor,0.7956,2.5163,1.5691,0.6018,0.503,0.3063,3.383,"(1, 12, 13)"
Decision Tree Regressor,1.0618,3.6937,1.9083,0.432,0.5783,0.3508,3.387,"(1, 12, 15)"
Decision Tree Regressor,1.0232,3.1933,1.7772,0.4856,0.5546,0.3674,3.397,"(1, 12, 16)"
Decision Tree Regressor,1.048,3.6071,1.8835,0.48,0.569,0.3685,3.386,"(1, 12, 17)"
Decision Tree Regressor,0.8854,2.7644,1.6475,0.527,0.5217,0.304,3.392,"(1, 13, 15)"
Decision Tree Regressor,0.6758,1.6788,1.2901,0.7043,0.4382,0.2615,3.475,"(1, 13, 16)"
Decision Tree Regressor,0.7975,2.4803,1.5538,0.6146,0.515,0.308,3.396,"(1, 13, 17)"
Decision Tree Regressor,0.9271,2.9647,1.7095,0.5106,0.5266,0.3245,3.399,"(1, 15, 16)"
Decision Tree Regressor,0.9197,3.0879,1.7464,0.5294,0.5337,0.3158,3.392,"(1, 15, 17)"
Decision Tree Regressor,0.8762,2.8417,1.6592,0.5547,0.523,0.2997,3.385,"(1, 16, 17)"
Decision Tree Regressor,0.9182,3.0455,1.732,0.4488,0.5349,0.336,3.378,"(2, 3, 4)"
Decision Tree Regressor,0.993,3.4742,1.8404,0.3689,0.5714,0.3518,3.391,"(2, 3, 5)"
Decision Tree Regressor,0.9256,2.7839,1.6598,0.408,0.549,0.3385,3.407,"(2, 3, 6)"
Decision Tree Regressor,0.9576,3.1768,1.7748,0.4016,0.5748,0.3721,3.41,"(2, 3, 8)"
Decision Tree Regressor,0.9282,2.6887,1.6249,0.456,0.541,0.3684,3.449,"(2, 3, 9)"
Decision Tree Regressor,1.2111,4.3259,2.0702,0.2379,0.6439,0.444,3.382,"(2, 3, 10)"
Decision Tree Regressor,0.8874,2.7665,1.6491,0.4991,0.545,0.3585,3.404,"(2, 3, 12)"
Decision Tree Regressor,0.9924,3.4539,1.8488,0.2876,0.5771,0.3943,3.386,"(2, 3, 13)"
Decision Tree Regressor,0.9021,2.9586,1.7081,0.4266,0.5416,0.3308,3.375,"(2, 3, 15)"
Decision Tree Regressor,0.8854,2.7016,1.6333,0.4733,0.5392,0.3547,3.388,"(2, 3, 16)"
Decision Tree Regressor,0.8161,2.5482,1.5843,0.5508,0.5161,0.3122,3.408,"(2, 3, 17)"
Decision Tree Regressor,0.9786,3.2478,1.7945,0.4765,0.5634,0.3396,3.418,"(2, 4, 5)"
