Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,1.0891,3.4609,1.838,0.4165,0.5887,0.3977,4.233,"(1, 8, 16)"
Decision Tree Regressor,1.0396,3.6657,1.8889,0.4329,0.5865,0.3485,4.24,"(1, 8, 17)"
Decision Tree Regressor,0.9903,3.5876,1.877,0.4466,0.5494,0.338,4.308,"(1, 9, 10)"
Decision Tree Regressor,0.998,3.434,1.8336,0.4557,0.5492,0.3426,4.105,"(1, 9, 12)"
Decision Tree Regressor,0.8726,2.7523,1.6434,0.5267,0.508,0.3203,4.764,"(1, 9, 13)"
Decision Tree Regressor,0.8599,2.7029,1.6324,0.5528,0.5022,0.2862,4.337,"(1, 9, 15)"
Decision Tree Regressor,0.9471,3.0467,1.7363,0.4838,0.5301,0.3385,4.219,"(1, 9, 16)"
Decision Tree Regressor,1.0487,3.7788,1.931,0.4165,0.5701,0.3489,4.27,"(1, 9, 17)"
Decision Tree Regressor,1.0114,3.5045,1.8618,0.4992,0.5705,0.333,4.233,"(1, 10, 12)"
Decision Tree Regressor,0.8634,2.73,1.6399,0.5716,0.5006,0.296,4.272,"(1, 10, 13)"
Decision Tree Regressor,0.9131,3.1421,1.7569,0.5299,0.5302,0.2918,4.235,"(1, 10, 15)"
Decision Tree Regressor,1.0282,3.5762,1.8838,0.4414,0.5618,0.3395,4.241,"(1, 10, 16)"
Decision Tree Regressor,1.177,4.3859,2.0409,0.359,0.6061,0.3828,4.201,"(1, 10, 17)"
Decision Tree Regressor,0.8642,2.8846,1.6751,0.5439,0.518,0.3133,4.234,"(1, 12, 13)"
Decision Tree Regressor,1.106,4.1243,2.0163,0.3298,0.5983,0.3617,4.226,"(1, 12, 15)"
Decision Tree Regressor,0.8731,2.6547,1.6246,0.5792,0.5227,0.3297,4.211,"(1, 12, 16)"
Decision Tree Regressor,1.0408,3.762,1.9315,0.4322,0.5838,0.3616,4.197,"(1, 12, 17)"
Decision Tree Regressor,0.7886,2.4628,1.552,0.5904,0.4889,0.2777,4.219,"(1, 13, 15)"
Decision Tree Regressor,0.7475,2.0688,1.4351,0.6462,0.4803,0.2745,4.209,"(1, 13, 16)"
Decision Tree Regressor,0.8409,2.6052,1.6053,0.5806,0.5086,0.2962,4.221,"(1, 13, 17)"
Decision Tree Regressor,1.0516,3.5587,1.8726,0.4302,0.5923,0.3781,4.213,"(1, 15, 16)"
Decision Tree Regressor,0.9678,3.6368,1.9,0.4607,0.5609,0.3099,4.231,"(1, 15, 17)"
Decision Tree Regressor,0.9635,3.1753,1.7682,0.5002,0.542,0.3473,4.242,"(1, 16, 17)"
Decision Tree Regressor,0.9727,3.1519,1.7558,0.4516,0.5578,0.3704,4.261,"(2, 3, 4)"
Decision Tree Regressor,0.8807,2.7179,1.6371,0.5108,0.516,0.3326,4.218,"(2, 3, 5)"
Decision Tree Regressor,0.7915,2.492,1.5614,0.4772,0.4958,0.2937,4.199,"(2, 3, 6)"
Decision Tree Regressor,0.9164,2.9113,1.7013,0.464,0.5426,0.356,4.22,"(2, 3, 8)"
Decision Tree Regressor,0.9193,3.0492,1.733,0.4069,0.5513,0.3437,4.232,"(2, 3, 9)"
Decision Tree Regressor,0.9147,3.2385,1.7789,0.4218,0.5576,0.3402,4.223,"(2, 3, 10)"
Decision Tree Regressor,0.8034,2.5947,1.5911,0.5207,0.5058,0.3096,4.233,"(2, 3, 12)"
Decision Tree Regressor,0.8118,2.4353,1.5516,0.5023,0.4958,0.3226,4.233,"(2, 3, 13)"
Decision Tree Regressor,0.8484,2.7966,1.652,0.4717,0.517,0.3193,4.216,"(2, 3, 15)"
Decision Tree Regressor,0.7914,2.2052,1.4776,0.5619,0.5034,0.3174,4.241,"(2, 3, 16)"
Decision Tree Regressor,0.8711,2.8007,1.66,0.5049,0.5263,0.34,4.254,"(2, 3, 17)"
Decision Tree Regressor,0.9461,3.0633,1.7424,0.507,0.5338,0.3439,4.238,"(2, 4, 5)"
Decision Tree Regressor,0.9661,3.1067,1.7559,0.4618,0.5501,0.3479,4.236,"(2, 4, 6)"
Decision Tree Regressor,1.0126,3.4425,1.8419,0.4501,0.5543,0.3522,4.246,"(2, 4, 8)"
Decision Tree Regressor,0.9649,2.8014,1.6655,0.5248,0.5411,0.3545,4.24,"(2, 4, 9)"
Decision Tree Regressor,1.2179,4.5607,2.1296,0.3031,0.647,0.4242,4.225,"(2, 4, 10)"
Decision Tree Regressor,1.0335,3.5748,1.876,0.4519,0.5846,0.3946,4.229,"(2, 4, 12)"
Decision Tree Regressor,0.9643,3.4667,1.8529,0.412,0.5661,0.3771,4.227,"(2, 4, 13)"
