Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9311,3.0565,1.7256,0.5251,0.5378,0.3341,4.516,"(4, 16, 17)"
Decision Tree Regressor,0.9207,2.8658,1.6831,0.4902,0.5294,0.3148,4.327,"(5, 6, 8)"
Decision Tree Regressor,0.9988,3.1187,1.7601,0.4056,0.549,0.3619,3.95,"(5, 6, 9)"
Decision Tree Regressor,1.0104,3.2318,1.7892,0.4453,0.5674,0.3417,4.544,"(5, 6, 10)"
Decision Tree Regressor,0.9827,3.222,1.7882,0.4588,0.5491,0.3505,4.354,"(5, 6, 12)"
Decision Tree Regressor,0.9158,2.7407,1.6494,0.4998,0.5427,0.3305,4.332,"(5, 6, 13)"
Decision Tree Regressor,0.9192,2.8608,1.6801,0.5066,0.548,0.3291,4.41,"(5, 6, 15)"
Decision Tree Regressor,0.831,2.3545,1.5226,0.5522,0.4896,0.3236,4.565,"(5, 6, 16)"
Decision Tree Regressor,0.9565,3.0225,1.72,0.4882,0.5543,0.3419,4.255,"(5, 6, 17)"
Decision Tree Regressor,1.0056,3.3328,1.8191,0.4188,0.5533,0.3441,4.394,"(5, 8, 9)"
Decision Tree Regressor,1.1505,4.1223,2.0209,0.3584,0.6181,0.3516,4.777,"(5, 8, 10)"
Decision Tree Regressor,1.199,4.2603,2.052,0.3151,0.6205,0.415,4.262,"(5, 8, 12)"
Decision Tree Regressor,0.915,2.8437,1.6645,0.5067,0.5232,0.3286,4.286,"(5, 8, 13)"
Decision Tree Regressor,1.1072,3.8014,1.9411,0.3759,0.5872,0.3742,4.475,"(5, 8, 15)"
Decision Tree Regressor,1.1137,3.8131,1.9391,0.368,0.5955,0.3782,4.48,"(5, 8, 16)"
Decision Tree Regressor,1.043,3.8378,1.9298,0.3973,0.5722,0.3536,4.47,"(5, 8, 17)"
Decision Tree Regressor,1.2661,4.6311,2.1387,0.2126,0.6285,0.4108,4.288,"(5, 9, 10)"
Decision Tree Regressor,1.015,3.2843,1.7922,0.4672,0.5599,0.3713,4.743,"(5, 9, 12)"
Decision Tree Regressor,0.9811,3.2115,1.7841,0.423,0.5536,0.352,4.254,"(5, 9, 13)"
Decision Tree Regressor,0.9927,3.296,1.7956,0.4623,0.563,0.3558,4.258,"(5, 9, 15)"
Decision Tree Regressor,0.955,3.0558,1.7322,0.4502,0.5575,0.3397,4.354,"(5, 9, 16)"
Decision Tree Regressor,0.9188,2.7981,1.6578,0.5322,0.5289,0.3221,4.274,"(5, 9, 17)"
Decision Tree Regressor,1.0997,3.8685,1.9537,0.4115,0.5946,0.3588,4.233,"(5, 10, 12)"
Decision Tree Regressor,1.0873,3.6307,1.8964,0.3947,0.5735,0.3779,4.26,"(5, 10, 13)"
Decision Tree Regressor,1.1856,4.1952,2.0369,0.3349,0.627,0.3694,3.994,"(5, 10, 15)"
Decision Tree Regressor,1.0611,3.5078,1.8666,0.4272,0.5728,0.3667,4.596,"(5, 10, 16)"
Decision Tree Regressor,1.0732,3.4806,1.8588,0.4773,0.5769,0.3614,4.259,"(5, 10, 17)"
Decision Tree Regressor,1.0759,3.6293,1.8912,0.3825,0.5813,0.3998,3.798,"(5, 12, 13)"
Decision Tree Regressor,1.1634,4.3033,2.0578,0.3095,0.619,0.3616,4.268,"(5, 12, 15)"
Decision Tree Regressor,1.1378,3.9448,1.9746,0.3638,0.5981,0.4198,4.333,"(5, 12, 16)"
Decision Tree Regressor,1.1647,4.1214,2.0226,0.362,0.6084,0.3902,4.299,"(5, 12, 17)"
Decision Tree Regressor,1.1589,3.74,1.926,0.3445,0.5976,0.4245,4.533,"(5, 13, 15)"
Decision Tree Regressor,0.847,2.417,1.5456,0.5614,0.5035,0.3361,4.303,"(5, 13, 16)"
Decision Tree Regressor,1.0681,3.7727,1.9298,0.3883,0.6055,0.3745,4.249,"(5, 13, 17)"
Decision Tree Regressor,1.0025,3.0914,1.7374,0.4787,0.5689,0.3304,4.378,"(5, 15, 16)"
Decision Tree Regressor,1.1571,4.1571,2.0245,0.3403,0.6225,0.3897,4.455,"(5, 15, 17)"
Decision Tree Regressor,1.0413,3.2982,1.8104,0.4624,0.5742,0.3488,4.441,"(5, 16, 17)"
Decision Tree Regressor,0.9183,2.8207,1.6733,0.4549,0.532,0.348,4.268,"(6, 8, 9)"
Decision Tree Regressor,0.9127,2.9093,1.6935,0.5238,0.5362,0.3358,4.433,"(6, 8, 10)"
Decision Tree Regressor,0.9845,3.2391,1.7923,0.4471,0.563,0.374,4.664,"(6, 8, 12)"
Decision Tree Regressor,0.837,2.591,1.5996,0.5111,0.5207,0.3261,4.271,"(6, 8, 13)"
Decision Tree Regressor,0.9085,2.6553,1.6252,0.5274,0.5306,0.3496,4.365,"(6, 8, 15)"
Decision Tree Regressor,0.8297,2.4434,1.5455,0.548,0.507,0.3212,4.596,"(6, 8, 16)"
Decision Tree Regressor,0.959,3.0723,1.7452,0.4872,0.557,0.375,4.377,"(6, 8, 17)"
Decision Tree Regressor,0.9755,3.1377,1.7643,0.4601,0.5514,0.365,4.404,"(6, 9, 10)"
Decision Tree Regressor,0.8866,2.596,1.6069,0.52,0.511,0.3668,4.773,"(6, 9, 12)"
Decision Tree Regressor,0.8084,2.3678,1.5259,0.5273,0.4932,0.3147,5.057,"(6, 9, 13)"
Decision Tree Regressor,0.8514,2.5682,1.5964,0.499,0.5153,0.2971,6.386,"(6, 9, 15)"
Decision Tree Regressor,0.8833,2.4766,1.5561,0.5121,0.5256,0.3454,7.372,"(6, 9, 16)"
Decision Tree Regressor,0.9988,3.2547,1.7913,0.4193,0.5789,0.3616,4.407,"(6, 9, 17)"
Decision Tree Regressor,0.9324,2.9743,1.7173,0.5174,0.5523,0.3453,5.203,"(6, 10, 12)"
Decision Tree Regressor,0.864,2.4418,1.5531,0.5723,0.5108,0.3272,5.934,"(6, 10, 13)"
Decision Tree Regressor,0.7981,2.5767,1.6007,0.5601,0.5043,0.282,4.633,"(6, 10, 15)"
Decision Tree Regressor,0.8056,2.3616,1.5338,0.5849,0.5132,0.3041,4.46,"(6, 10, 16)"
Decision Tree Regressor,0.9175,2.9486,1.7029,0.5022,0.5394,0.339,4.676,"(6, 10, 17)"
Decision Tree Regressor,0.8605,2.4508,1.5555,0.5447,0.5017,0.3717,5.104,"(6, 12, 13)"
Decision Tree Regressor,1.0154,3.5316,1.8715,0.386,0.5861,0.3706,5.331,"(6, 12, 15)"
Decision Tree Regressor,0.7904,2.2219,1.4842,0.589,0.4914,0.309,4.394,"(6, 12, 16)"
Decision Tree Regressor,0.9765,3.2233,1.7873,0.4729,0.554,0.3671,7.587,"(6, 12, 17)"
Decision Tree Regressor,0.9135,2.8192,1.6675,0.4515,0.5501,0.3496,8.27,"(6, 13, 15)"
Decision Tree Regressor,0.7793,2.1857,1.4654,0.5608,0.492,0.3314,6.067,"(6, 13, 16)"
Decision Tree Regressor,0.8351,2.5673,1.5927,0.5388,0.5219,0.3108,4.391,"(6, 13, 17)"
Decision Tree Regressor,0.8429,2.5052,1.574,0.5237,0.5243,0.3256,4.354,"(6, 15, 16)"
Decision Tree Regressor,0.8363,2.541,1.5783,0.5476,0.5208,0.3066,5.449,"(6, 15, 17)"
Decision Tree Regressor,0.8801,2.6977,1.6314,0.5213,0.5306,0.3259,5.632,"(6, 16, 17)"
Decision Tree Regressor,0.9012,3.0674,1.7409,0.5206,0.5053,0.3126,4.72,"(8, 9, 10)"
Decision Tree Regressor,0.9462,3.0238,1.7254,0.5073,0.5493,0.3602,4.73,"(8, 9, 12)"
Decision Tree Regressor,0.8412,2.56,1.5901,0.5348,0.5279,0.3412,5.214,"(8, 9, 13)"
Decision Tree Regressor,0.9535,3.1894,1.7733,0.4635,0.5576,0.3348,5.031,"(8, 9, 15)"
Decision Tree Regressor,0.8327,2.7838,1.6466,0.5309,0.5008,0.3137,5.042,"(8, 9, 16)"
Decision Tree Regressor,0.9192,3.064,1.7305,0.5062,0.5347,0.3148,5.146,"(8, 9, 17)"
Decision Tree Regressor,1.3365,4.996,2.2201,0.2716,0.659,0.4485,5.049,"(8, 10, 12)"
Decision Tree Regressor,0.758,2.3198,1.5074,0.5962,0.4992,0.279,5.012,"(8, 10, 13)"
Decision Tree Regressor,1.3156,4.7446,2.162,0.2808,0.6446,0.4503,4.643,"(8, 10, 15)"
Decision Tree Regressor,1.0024,3.3065,1.8088,0.4736,0.5496,0.3603,5.26,"(8, 10, 16)"
Decision Tree Regressor,0.9269,3.1988,1.7798,0.52,0.5546,0.2926,4.407,"(8, 10, 17)"
Decision Tree Regressor,0.961,3.1246,1.7449,0.4757,0.5428,0.381,4.775,"(8, 12, 13)"
Decision Tree Regressor,1.2394,4.5169,2.1138,0.3176,0.6441,0.4141,4.996,"(8, 12, 15)"
Decision Tree Regressor,0.8652,2.5115,1.5826,0.5869,0.5231,0.3402,5.184,"(8, 12, 16)"
Decision Tree Regressor,0.9277,3.1471,1.7703,0.5142,0.5516,0.346,4.505,"(8, 12, 17)"
Decision Tree Regressor,1.0503,3.4491,1.8493,0.4138,0.5931,0.3955,4.877,"(8, 13, 15)"
Decision Tree Regressor,0.8237,2.5576,1.5591,0.5378,0.5047,0.3179,4.981,"(8, 13, 16)"
Decision Tree Regressor,1.0513,3.7748,1.9348,0.3701,0.592,0.4091,5.101,"(8, 13, 17)"
Decision Tree Regressor,1.1905,3.9543,1.9794,0.3368,0.6382,0.4498,4.86,"(8, 15, 16)"
Decision Tree Regressor,1.0763,3.4228,1.8437,0.4518,0.6079,0.3861,4.922,"(8, 15, 17)"
Decision Tree Regressor,0.876,2.8985,1.6827,0.5209,0.5205,0.3126,5.131,"(8, 16, 17)"
Decision Tree Regressor,0.9931,3.5184,1.8623,0.4581,0.5664,0.3297,4.637,"(9, 10, 12)"
Decision Tree Regressor,0.8246,2.5724,1.5923,0.5686,0.5234,0.3252,4.885,"(9, 10, 13)"
Decision Tree Regressor,0.902,2.8962,1.6938,0.5262,0.5376,0.3318,4.7,"(9, 10, 15)"
Decision Tree Regressor,0.9616,3.2779,1.8002,0.449,0.5557,0.3413,4.988,"(9, 10, 16)"
Decision Tree Regressor,1.0894,3.8745,1.953,0.428,0.5974,0.3714,4.862,"(9, 10, 17)"
Decision Tree Regressor,0.8577,2.7781,1.6573,0.4942,0.498,0.3413,5.068,"(9, 12, 13)"
Decision Tree Regressor,1.0067,3.2195,1.7791,0.462,0.5779,0.368,5.259,"(9, 12, 15)"
Decision Tree Regressor,0.7505,2.3005,1.4946,0.5924,0.4789,0.2766,5.008,"(9, 12, 16)"
Decision Tree Regressor,1.0053,3.4632,1.8397,0.4473,0.5606,0.3718,5.029,"(9, 12, 17)"
Decision Tree Regressor,0.8856,3.1312,1.7565,0.4153,0.5365,0.3219,4.718,"(9, 13, 15)"
Decision Tree Regressor,0.8112,2.2546,1.4828,0.5802,0.4963,0.3256,5.385,"(9, 13, 16)"
Decision Tree Regressor,0.8949,2.858,1.6786,0.4963,0.5358,0.3487,4.924,"(9, 13, 17)"
Decision Tree Regressor,0.822,2.3083,1.5089,0.5731,0.5028,0.3095,4.975,"(9, 15, 16)"
Decision Tree Regressor,0.9879,3.6059,1.8772,0.4104,0.5583,0.3732,4.612,"(9, 15, 17)"
Decision Tree Regressor,0.8953,2.9443,1.6925,0.4973,0.5389,0.3331,4.904,"(9, 16, 17)"
Decision Tree Regressor,0.9526,3.3565,1.8229,0.449,0.5547,0.366,4.74,"(10, 12, 13)"
Decision Tree Regressor,0.9407,3.0894,1.7485,0.5488,0.5509,0.3381,5.089,"(10, 12, 15)"
Decision Tree Regressor,1.0981,3.8682,1.9496,0.3859,0.6072,0.3881,5.167,"(10, 12, 16)"
Decision Tree Regressor,1.2073,4.5895,2.1067,0.3336,0.6287,0.4132,5.232,"(10, 12, 17)"
Decision Tree Regressor,1.0365,3.7126,1.913,0.4232,0.5888,0.4025,5.063,"(10, 13, 15)"
Decision Tree Regressor,1.0268,3.6203,1.8905,0.3978,0.5815,0.4025,5.009,"(10, 13, 16)"
Decision Tree Regressor,0.8064,2.5874,1.584,0.6001,0.4956,0.2936,5.316,"(10, 13, 17)"
Decision Tree Regressor,0.9916,3.3475,1.8214,0.4699,0.5615,0.3656,5.029,"(10, 15, 16)"
Decision Tree Regressor,1.1892,4.3599,2.0729,0.3597,0.6478,0.4058,5.099,"(10, 15, 17)"
Decision Tree Regressor,1.1832,4.2702,2.0503,0.3386,0.6165,0.4036,4.909,"(10, 16, 17)"
Decision Tree Regressor,0.9244,2.9709,1.7122,0.4845,0.5501,0.3438,5.005,"(12, 13, 15)"
Decision Tree Regressor,0.8732,2.8898,1.6924,0.4918,0.5541,0.329,5.058,"(12, 13, 16)"
Decision Tree Regressor,0.974,3.3536,1.8282,0.458,0.5848,0.373,5.261,"(12, 13, 17)"
Decision Tree Regressor,1.0157,3.226,1.7913,0.4602,0.5856,0.3823,5.463,"(12, 15, 16)"
Decision Tree Regressor,1.0382,3.7211,1.9198,0.4208,0.5807,0.3695,5.364,"(12, 15, 17)"
Decision Tree Regressor,1.0595,3.4551,1.8418,0.4498,0.5771,0.4157,4.826,"(12, 16, 17)"
Decision Tree Regressor,1.0924,3.4705,1.8488,0.3759,0.594,0.4335,4.554,"(13, 15, 16)"
Decision Tree Regressor,0.9561,3.1879,1.7632,0.4697,0.5749,0.3423,4.846,"(13, 15, 17)"
Decision Tree Regressor,1.0417,3.45,1.8418,0.4135,0.5646,0.4274,5.596,"(13, 16, 17)"
Decision Tree Regressor,1.1581,3.9595,1.9823,0.3259,0.6194,0.4203,5.42,"(15, 16, 17)"
