"subject","experimental_condition","rpe","wrist_acc_time","wrist_acc_length","wrist_acc_mean","wrist_acc_rms","wrist_acc_mad","wrist_acc_std","wrist_acc_min","wrist_acc_max","wrist_acc_med","wrist_acc_perc25","wrist_acc_perc75","wrist_jerk_mean","wrist_jerk_rms","wrist_jerk_mad","wrist_jerk_std","wrist_jerk_min","wrist_jerk_max","wrist_jerk_med","wrist_jerk_perc25","wrist_jerk_perc75","trunk_acc_mean","trunk_acc_rms","trunk_acc_mad","trunk_acc_std","trunk_acc_min","trunk_acc_max","trunk_acc_med","trunk_acc_perc25","trunk_acc_perc75","trunk_jerk_mean","trunk_jerk_rms","trunk_jerk_mad","trunk_jerk_std","trunk_jerk_min","trunk_jerk_max","trunk_jerk_med","trunk_jerk_perc25","trunk_jerk_perc75","upperarm_acc_mean","upperarm_acc_rms","upperarm_acc_mad","upperarm_acc_std","upperarm_acc_min","upperarm_acc_max","upperarm_acc_med","upperarm_acc_perc25","upperarm_acc_perc75","upperarm_jerk_mean","upperarm_jerk_rms","upperarm_jerk_mad","upperarm_jerk_std","upperarm_jerk_min","upperarm_jerk_max","upperarm_jerk_med","upperarm_jerk_perc25","upperarm_jerk_perc75"
4,"Condition 2.5-15",5,1633547312,2396,1.0604294108975,1.10694694559219,0.236655716092639,0.317589517006535,0.277565995798847,2.71523027880956,1.02570194626025,0.85593096379989,1.22085150034919,7.34994276628149,9.9132611406149,5.0061243066721,6.65353830214122,0.121754018761879,41.5946027714586,5.24643777758877,2.57944238197537,9.95423716071302,1.02363261003673,1.02489093428222,0.0268747041286085,0.0507817204323138,0.699465767695816,1.31652098299769,1.02250449471861,1.00919658931629,1.03565567463566,1.40540709954772,1.88768881059457,0.90154596379325,1.26050122517868,0.030777331891593,9.55929385213443,1.07016245860022,0.530612852213252,1.85060969587641,1.04580369950593,1.05628835051559,0.0969304507694172,0.148488733293979,0.121402905016945,1.70713641562604,1.03289326077486,0.984315337228923,1.1071938947767,4.08614763265467,5.58004862200273,2.74736594150526,3.80083833333917,0.0676813245597438,27.6027468737749,2.8803488207194,1.49195060276022,5.42434996341473
4,"Condition 2.5-15",5,1633547336,2414,1.08270897914247,1.15006560343769,0.267159649281571,0.387884627816234,0.315153774445731,3.87551581329688,1.04145062118844,0.850928519342188,1.23600833464074,8.38347892298573,11.7323641039892,5.55530084260767,8.20935917047239,0.256961101962045,70.1833210192463,6.10927731407637,2.99327500443221,10.7063765165941,1.0214228835939,1.02240495464205,0.0285732005735363,0.0448108911803041,0.810148300349399,1.23832911302403,1.02058172441677,1.00556742262706,1.03889368183076,1.64824936864661,2.17960882405337,1.03306871483878,1.42646833656752,0.033091388109113,9.37072523377764,1.21468691777606,0.68285624906258,2.10957816600137,1.05025988861397,1.06250465365132,0.110269525115378,0.160875811170996,0.398643707419333,2.27828708847156,1.03484062956921,0.968477547063578,1.11557618125426,4.40925560251179,6.1893057806413,2.74201859829091,4.34439786284787,0.0683257045371844,44.0937617179899,3.27754027454133,1.85562065999362,5.2594451517254
4,"Condition 2.5-15",5,1633547551,2483,1.05001392774411,1.10388186259974,0.243119393443553,0.340694386606713,0.292397996735788,3.7984304235232,1.00981561783696,0.832386290136056,1.20203562925092,7.43963058715268,10.6372193217116,5.06697141709068,7.60431651250304,0.0749501291336368,62.1263968349338,4.97321440749514,2.9420370842774,8.9238494890373,1.02022145629827,1.02100174680298,0.0245376721453892,0.0399172744886155,0.785954472677435,1.3200703175944,1.021584533436,1.00750297391235,1.03513298823332,1.43148998848816,1.98607900598689,0.927784374288398,1.37699316459828,0.0237715689179566,10.2775539912942,1.00525922249246,0.595957876729602,1.69916973667354,1.0494282005323,1.06102326933948,0.100411124331187,0.156463060581322,0.068921401657931,2.20513596087188,1.03742644413966,0.987086359788616,1.10845156459668,4.13012334424535,6.10372293891674,2.94012733041216,4.49507016107545,0.0818803232504936,42.4754094301489,2.65833403705202,1.52055879975415,4.92162544421228
4,"Condition 2.5-15",5,1633547575,2329,1.0760154340509,1.1519306599059,0.270185439767517,0.411348615434869,0.199235732208329,4.12301641772502,1.03463338695911,0.833724506652471,1.20498218890121,8.6213687126105,12.4952775429036,6.18929945697151,9.04649747997225,0.212191982395344,66.836575091478,5.88552119662076,2.61002737211944,10.9390006337321,1.0232122163943,1.02416732827518,0.0281128025962065,0.0442302668895083,0.770109491376269,1.26384268486705,1.02199058222866,1.00791663111158,1.04028506193295,1.69944518384629,2.28516282107196,1.1102440068688,1.52802425760985,0.0520818140530356,9.28613236872695,1.25292119242017,0.645711863891388,2.19190344338982,1.05266894269931,1.06672687538319,0.112341634280968,0.172647392074482,0.376024036555049,2.28524891570998,1.03858288118751,0.975383768601846,1.11969409585838,4.53289517422656,6.45381011787467,2.96651271387271,4.59495329585129,0.166819147232817,42.322948915018,3.20741973225397,1.82471573403145,5.62426054123571
4,"Condition 2.5-5",0,1634753460,7632,1.00781530486506,1.02145227829359,0.0830373002926533,0.166363140485461,0.310570961302011,2.77308463178085,0.995443283485466,0.988449067283659,1.00884234232867,2.29496659730946,4.49936132929969,2.6965362045932,3.87031570395652,0.0103237980798209,30.4460247274016,0.325398622429853,0.138385477789717,3.0694081423154,1.02026009378832,1.02063317179953,0.0136622647701406,0.0275955101325053,0.804180143172772,1.20008820014601,1.02081223705296,1.01699589939748,1.0244128307002,0.653235426912749,1.0843029007355,0.627913616880125,0.865502410289343,0.00534988731064292,7.40909809223266,0.229157975317485,0.111687103800553,0.90103307558933,1.01470662571898,1.01821500623928,0.0434414632642655,0.0844582577141038,0.248570801302864,1.82850075855968,1.00519871605546,1.00029172333673,1.01598820115541,1.46429999718759,2.73275992716748,1.53676270631714,2.30748782961379,0.00596976212398563,37.2358340922357,0.362341998040375,0.166844148798301,2.04485803832499
4,"Condition 2.5-5",0,1634753527,5894,1.01436895061979,1.03568834399881,0.105370640874181,0.209077484454227,0.291831626508297,3.02873073898566,0.995639378174537,0.984097259146388,1.02006486120996,2.90310985689131,5.31883025632811,3.18369738636283,4.45704828899751,0.0108322325052376,35.1799188454226,0.705172587879136,0.168595286138171,3.88119436298805,1.02166197757732,1.02210322053528,0.0156227375523534,0.0300324829126138,0.830429864958789,1.19706769827966,1.02130578375817,1.01742338735192,1.02573781074005,0.803624994007866,1.31266619482308,0.756659218650157,1.03800878882733,0.00538090639103957,10.1232811000381,0.31638434026005,0.124134751207951,1.13562008579561,1.01706008876731,1.02148553354229,0.052275326827871,0.0949894833757682,0.530312146822628,1.72265422725272,1.00472459004596,0.998739192662415,1.0232162212592,1.84384956710451,3.17234711205631,1.83871922173859,2.58169246797975,0.00928920304303743,25.3938092657796,0.563706757434748,0.204825757207161,2.72728937375789
4,"Condition 2.5-5",0,1634753708,6033,1.01712666503789,1.03807881985652,0.106467977816291,0.207528605885591,0.332312341384798,3.19818822330524,0.996059136185678,0.979405334593364,1.03128915543294,2.97467425972605,5.23323274999539,3.14449636324778,4.30593913750542,0.0121791186190211,36.3434922735153,0.855751460963359,0.22184765099512,4.33092316938187,1.0214827918877,1.02179429019494,0.013942529156485,0.0252305939110887,0.864480596155799,1.18403651574105,1.02167041428311,1.01550799543938,1.02697074864709,0.69437141228165,1.07378579591748,0.584827019648323,0.819130950040172,0.0105858152214905,6.70341187687527,0.371745598704797,0.147080534438861,0.953280036789615,1.01727429082575,1.02216365146504,0.0515135039644021,0.0998659136509698,0.29963933952397,2.05478908841191,1.00477279500744,0.997225044184575,1.02645441910856,1.75313875314174,3.06901618355151,1.67833608376908,2.5192095927023,0.0122054485470493,30.1254518386109,0.725460947689524,0.226376317228018,2.46301202900244
4,"Condition 2.5-5",0,1634753767,5951,1.01107680584663,1.02493438144948,0.0896141105153715,0.167984882757392,0.3577710338913,2.43550857596661,0.995362403716171,0.97931976062909,1.02709260019931,2.57168065265181,4.55283028621489,2.62000817151075,3.757272262804,0.00515242785944853,32.983145431439,0.95230853294164,0.193626946374937,3.45123014962236,1.02161278965543,1.02187232264174,0.0124941102137292,0.0230313032288855,0.863275279761824,1.16641463008985,1.0217273670985,1.01737101973915,1.02617207549275,0.688607605077213,1.15008480203001,0.608738716372885,0.921225949244127,0.00740437319628981,12.239406720042,0.324048334259401,0.1419257459054,0.901990312355439,1.01847889244709,1.02117057365941,0.041578294415045,0.0741013417638795,0.639269717276434,1.50706277388808,1.00648498835025,1.00030841318141,1.0294665320236,1.44083310206019,2.35180720147717,1.30351950274454,1.85891846360048,0.00495409802955247,17.1090759158517,0.709277257740198,0.215822101116612,1.98328626395126
4,"Condition 2.5-5",0,1634753827,6040,1.0106786198037,1.02408854219895,0.0872999126934778,0.165198632089184,0.293236781164772,2.32980351246591,0.996010487370944,0.986836891546238,1.017764563564,2.44859592534498,4.45862970794113,2.74261608666521,3.72639990655212,0.00986285507580538,31.1132870931574,0.453769566706715,0.162759740283179,3.62200850452062,1.02212427541162,1.02240556619338,0.0124850774051178,0.0239833823656454,0.837963841086854,1.18893988570896,1.02185445963177,1.01766736879989,1.02596245180322,0.639376529103316,1.03492240179944,0.57185837398611,0.813862220605262,0.00957599032858397,7.17201345592939,0.282965830439972,0.139120087605025,0.859857026310719,1.01595393021764,1.01872322527967,0.0419809085137351,0.0750703299470542,0.43906584479986,1.57537567499828,1.00575039657181,0.999788161320412,1.02080699619908,1.45761499792063,2.58161186021983,1.44729187108928,2.13092239000838,0.00904859664162902,24.2365174736318,0.479677942423291,0.185131692370106,2.09824675465628
4,"Condition 2.5-5",0,1634753888,6051,1.01255481515674,1.02614070849403,0.0919585213888168,0.166439412492046,0.305114248521802,2.61377226232427,0.996202508211743,0.982920252012032,1.03103985061466,2.46232441874302,4.29816556117709,2.52820838392099,3.52324245872056,0.00458965261724813,30.3333185980663,0.823498236977756,0.189134490282451,3.50186585923546,1.02250048478407,1.02275950890881,0.0125188153811742,0.0230186716665711,0.908903583238956,1.2103311429104,1.02210287818369,1.0172319408496,1.02655620338476,0.687103142795394,1.07841955810661,0.585490858277269,0.831259422839197,0.00763222732752012,8.04245377404752,0.348668024833013,0.149981792111647,0.934590145903055,1.01707893348082,1.01973982233069,0.0423134736184349,0.0736250238894383,0.515322944966653,1.68265496824869,1.00597504881957,0.999608940615885,1.02870890726184,1.46276617536114,2.44304588443031,1.3448910273626,1.95689071535559,0.00960973202663883,19.1262113420021,0.661571465801362,0.220276481725217,2.10085532319935
